taxon,EBI20_S_2019-07-14,EBI20_S_2019-07-30,EBI20_S_2019-08-13,EBI20_S_2019-09-05,EBI20_S_2019-09-13,EBI20_S_2019-09-30,EBI20_S_2019-10-11,EBI20_S_2019-10-28,EBI20_S_2019-11-14,EBI20_S_2019-11-26,EBI20_S_2019-12-13,EBI20_S_2020-01-02,EBI20_S_Wi2020,EBI20_S_2020-01-16,EBI20_S_2020-01-27,EBI20_S_2020-02-07,EBI20_S_2020-02-21,EBI20_S_2020-03-06,EBI20_S_2020-03-23,EBI20_S_2020-04-14,EBI20_S_2020-04-29,EBI20_S_2020-05-13,EBI20_S_2020-05-21,EBI20_S_Sp2020,EBI20_S_2020-06-10,EBI20_S_2020-06-23,EBI20_S_2020-07-09,EBI20_S_2020-07-23,EBI20_S_2020-08-05,EBI20_S_2020-08-19
Flavobacterium,2.98498552282021e-05,3.40495079846096e-05,0,0,0,3.87641973872931e-05,2.6618398637138e-05,0.000171244605794917,0.000307399955287279,0.000329539405308119,0.000308659296256805,0.000214942825208495,0.000205277923499761,9.1066387396412e-05,8.61771802826612e-05,0.000259513530091773,0.00038001140034201,0.000471994965387036,0.000558254624460605,0.00166892196662156,0.000383497497174229,0.000522871103258028,0.000342328978148,1.82812014405587e-05,0.000205775430413609,3.39506696769594e-05,4.33632539785785e-05,2.34802413768814e-05,8.99223969714137e-06,0
Anaerolineaceae,0.00444762842900212,0.00830807994824475,0.00711393001778482,0.0025336593701205,0.00809893556846814,0.0101174555180835,0.00628194207836457,0.00845948352626892,0.0051140174379611,0.00250956931734645,0.0040967506594085,0.00266529103258533,0.00310197751066305,0.00284582460613787,0.00308083419510514,0.00200533182343643,0.00202672746849072,0.00232850849590938,0.00221793053501916,0.00257104194857916,0.00195785564346843,0.00225375475542253,0.00254844905954622,0.00475311237454526,0.00185197887372248,0.00431173504897384,0.00398941936602923,0.00286458944797953,0.00313829165430234,0.00341654928522193
Thiotrichaceae,0.0276409659413152,0.0472607170826382,0.054554415136386,0.0435730489349792,0.0634030955931506,0.0499282862348335,0.0699797700170358,0.0715802452222755,0.051391683433937,0.0281882937463561,0.0427072226275324,0.0289313042730634,0.0401204297151199,0.0333075311902377,0.0336952774905205,0.0330054025998537,0.0259885574345008,0.0249842668344871,0.0285615136244304,0.0266576454668471,0.0261181979654449,0.0290103312117989,0.0347844278351496,0.0519003308897461,0.0279854585362508,0.0470216775025887,0.028554702744894,0.0218601047218765,0.0117258805650723,0.0263134234423233
Clostridium sensu stricto 1,5.96997104564043e-05,6.80990159692192e-05,0,2.94611554665174e-05,5.14218131331311e-05,0,2.6618398637138e-05,0.000273991369271868,5.58909009613235e-05,7.60475550711045e-05,0,4.29885650416989e-05,4.56173163332801e-05,0,0,0,2.1111744463445e-05,3.14663310258024e-05,0.000135791665409336,0,4.03681575972873e-05,5.40901141301408e-05,9.50913828188889e-05,7.31248057622347e-05,3.42959050689348e-05,6.79013393539188e-05,0.000108408134946446,4.69604827537627e-05,3.59689587885655e-05,2.99697305721222e-05
Sulfurimonas,0.00295513566759201,0.00922741666382921,0.00797103001992758,0.00306396016851781,0.0156322311924718,0.01217195797961,0.0169026831345826,0.0174327008699226,0.00789458976078694,0.00529797966995361,0.00656602502946293,0.00371851087610696,0.00663731952649226,0.00981240324196339,0.00631247845570493,0.00401066364687286,0.00363122004771254,0.00251730648206419,0.00564289809589909,0.002255299954894,0.00187711932827386,0.00387645817932676,0.00473555086438067,0.00802544743240526,0.00137183620275739,0.00556790982702134,0.00529031698538658,0.002770668482472,0.000332712868794231,0.00218779033176492
Fusibacter,0.000149249276141011,0.000204297047907658,6.42825001607062e-05,0.000206228088265622,0.000334241785365352,0,0.000159710391822828,0.000308240290430851,0.00016767270288397,5.0698370047403e-05,0.000112239744093383,0.000107471412604247,0.000205277923499761,0.000113832984245515,4.30885901413306e-05,0,4.222348892689e-05,6.29326620516048e-05,0.000181055553879115,0.0002255299954894,6.05522363959309e-05,0.000108180228260282,0.000266255871892889,5.4843604321676e-05,3.42959050689348e-05,0.000169753348384797,0.000108408134946446,0.000305243137899458,0,0.000269727575149099
Chromatiaceae,0.000925345512074266,0.00146412884333821,0.00199275750498189,0.00100167928586159,0.00115699079549545,0.000736519750358569,0.00236903747870528,0.00130145900404137,0.00159289067739772,0.000329539405308119,0.000897917952747068,0.000730805605708881,0.0010263896174988,0.000500865130680266,0.000646328852119959,0.00117960695496261,0.00050668186712268,0.000849590937696665,0.000648782401400163,0.00049616599007668,0.000706442757952527,0.000414690874997746,0.000532511743785778,0.000786091661944023,0.000411550860827217,0.000865742076762464,0.000390269285807207,0.000211322172391932,0.000350697348188513,0.000479515689153955
Micavibrionales,0.00522372466493537,0.000680990159692192,0.00141421500353554,0.00671714344636597,0.0014140998611611,0.000581462960809396,0.00173019591141397,0.000958969792451538,0.000195618153364632,0.000126745925118507,2.80599360233459e-05,4.29885650416989e-05,0.00018246926533312,4.5533193698206e-05,4.30885901413306e-05,4.71842781985043e-05,6.3335233390335e-05,6.29326620516048e-05,6.03518512930384e-05,0.00015787099684258,0.000181656709187793,0.000306510646737465,0.00110306004069911,0.000749529259062906,0.00113176486727485,0.000441358705800472,0.000433632539785785,0.000258282655145695,0.000125891355759979,0.000389606497437588
Marinicella,2.98498552282021e-05,0.000102148523953829,6.42825001607062e-05,0.000353533865598209,0.000257109065665655,7.75283947745862e-05,0.000159710391822828,0.000376738132748818,5.58909009613235e-05,0.000101396740094806,2.80599360233459e-05,2.14942825208495e-05,4.56173163332801e-05,2.2766596849103e-05,6.46328852119959e-05,7.07764172977564e-05,0,0,0.000135791665409336,6.765899864682e-05,6.05522363959309e-05,0.000108180228260282,0.000247237595329111,0.000109687208643352,0.000102887715206804,0.000203704018061756,0.000238497896882182,0.000281762896522576,8.99223969714137e-06,0.00041957622800971
Desulfolunaceae,8.95495656846064e-05,0.000170247539923048,4.28550001071375e-05,0,2.57109065665655e-05,0.000232585184323759,5.3236797274276e-05,6.8497842317967e-05,0,0,0,0,2.28086581666401e-05,0,0,0,0,0,0,0,0,1.80300380433803e-05,0,1.82812014405587e-05,0,0,2.16816269892893e-05,2.34802413768814e-05,1.79844793942827e-05,2.99697305721222e-05
