taxon,ED10_S_Wi2020,ED10_S_2020-02-10,ED10_S_2020-02-26,ED10_S_2020-03-09,ED10_S_2020-03-24,ED10_S_2020-04-20,ED10_S_2020-04-22,ED10_S_2020-05-11,ED10_S_2020-05-21,ED10_S_2020-06-03,ED10_S_2020-06-08,ED10_S_2020-06-19,ED10_S_2020-07-02,ED10_S_2020-07-21,ED10_S_2020-08-05,ED10_S_2020-08-20,ED10_S_2020-09-01,ED10_S_2020-09-16,ED10_S_2020-10-02,ED10_S_2020-10-16,ED10_S_2020-11-19,ED10_S_2020-11-25
Flavobacterium,0.000620481045165849,0.00145878920495988,0.000778580388425105,0.00713196190790287,0.00866201606770919,0.00209325233951732,0.00810166799046863,0.00253302400454524,0.00684548384519085,0.00307144602282643,0.00587520761545899,0.00472383720930233,0.00304579571413032,0.000732808547857126,0.000516858715150041,0.000151256182596464,0.000444538291417077,0.000181530561966754,0.00999820391546429,0.0106128038343033,0.000147190501306316,0.00142293965336257
Anaerolineaceae,0.012685390256724,0.00927373137438783,0.00367662961200744,0.00956424949499114,0.00674447052600258,0.00266787062879659,0.00174741858617951,0.00471095118602339,0.00412859920624351,0.00226868172140588,0.00163613376633035,0.00525375484496124,0.00529388302694079,0.00332521728167427,0.0105499984798273,0.0110719525660611,0.0127360220490993,0.00352687948963979,0.000598694845237382,0.00499258244893301,0.00981270008708771,0.0100538850917913
Thiotrichaceae,0.0630650040072734,0.0385537147025112,0.0167394783511398,0.035453683472812,0.0261182927232453,0.0189624035462157,0.0103256552819698,0.018914824108707,0.0120395280078843,0.00544483613137412,0.00223109149954139,0.00281613372093023,0.00275571993183219,0.0167679203208598,0.00925785169195221,0.03678550360746,0.0140140696369233,0.027540779544099,0.0012572591749985,0.0166609608581536,0.143768322150944,0.0796846205883039
Clostridium sensu stricto 1,6.03245460577909e-05,3.47330763085687e-05,4.32544660236169e-05,8.24504266809581e-05,0.000165305650147122,0.000123132490559842,0.000158856235107228,0.00035509682306709,0.000372905734757478,6.98055914278734e-05,0.000148739433302759,4.5421511627907e-05,0.000108778418361797,0.000260028839562206,0.000516858715150041,1.51256182596464e-05,0.000266722974850246,0.00025932937423822,0.00035921690714243,0.000656167979002625,3.67976253265789e-05,0.000163288156943246
Sulfurimonas,0.00686838045829419,0.00472369837796534,0.00462822786452701,0.00593643072102898,0.00353754091314841,0.00377606304383517,0.00190627482128674,0.011954926376592,0.00306315424979357,0.0104359359184671,0.0127172215473859,0.00429990310077519,0.00424235831611008,0.00940043653326399,0.00335958164847527,0.00193607913723473,0.00695702426067725,0.0136407250849304,0.00101778123690355,0.00938605500399407,0.0205576066824488,0.00340572441624484
Fusibacter,6.8942338351761e-05,6.94661526171373e-05,4.32544660236169e-05,0.00441109782743126,0.00142162859126525,0.000779839106879002,0.000635424940428912,0.0019648690876379,0.0051674080387822,0.00750410107849639,0.0142046158804135,0.00991703003875969,0.0171507306283767,0.00463324114129022,0.00500136815542246,0.000105879327817525,0.00458985785888132,0.00280075724177278,0.00359216907142429,0.00125527787287459,0.000220785751959474,0.00137628589423593
Chromatiaceae,0.000844543644809073,0.000312597686777118,0.000129763398070851,4.1225213340479e-05,3.30611300294244e-05,0.000246264981119685,0,2.3673121537806e-05,7.99083717337453e-05,0.000488639139995114,0.00101638612756885,0.00277071220930233,0.000217556836723594,0.000260028839562206,9.12103614970661e-05,0.000438642929529745,0.000300063346706527,0.000311195249085864,0,0.000142645212826658,0.000870877132729035,0.000303249434323171
Micavibrionales,6.8942338351761e-05,0.00052099614462853,0.00246550456334617,0.000123675640021437,9.91833900882732e-05,0.00365293055327532,0.00746624305003971,0.000402443066142702,0.000719175345603708,0.000349027957139367,0.000396638488807358,7.5702519379845e-05,3.62594727872657e-05,7.87966180491533e-05,0.000121613815329421,0.000121004946077171,5.55672864271346e-05,5.1865874847644e-05,0,0,9.81270008708771e-05,0
Marinicella,0.000206827015055283,0.000173665381542843,0.000259526796141702,0.000247351280042874,0.000363672430323668,0.00172385486783779,0.00158856235107228,0.00205956157378912,0.000452814106491223,0.00062825032285086,0.000545377922110117,0.000317950581395349,0.000108778418361797,0.000843123813125941,0.00025842935757502,0.000272261128673635,0.00174481279381203,0.00145224449573403,5.98694845237382e-05,8.55871276959945e-05,0.000245317502177193,0.000116634397816604
Desulfolunaceae,1.72355845879403e-05,0,0,4.1225213340479e-05,0,8.20883270398949e-05,0,4.73462430756119e-05,5.32722478224969e-05,0.000872569892848417,0.000594957733211036,0.000620760658914729,0.0012690815475543,0.000693410238832549,0.00155057614545012,0.000121004946077171,0.000244496060279392,0.00012966468711911,5.98694845237382e-05,5.7058085130663e-05,4.90635004354386e-05,2.33268795633208e-05
Desulfosporosinus,0,0,0,0,0,0,0,0,0,0,0,0,0,7.87966180491533e-06,0,0,2.22269145708538e-05,0,0,0,0,0
Oligoflexales,2.58533768819104e-05,0.000208398457851412,0.000821834854448722,0,0,0.000820883270398949,0.00190627482128674,0.000662847403058567,5.32722478224969e-05,0.000383930752853304,0.00166092367188081,0.000121124031007752,0,0.00307306810391698,0.000228025903742665,3.02512365192927e-05,0.0002889498894211,0.000181530561966754,0,0,2.45317502177193e-05,0
Rhodothermales,0.000241298184231164,0.000138932305234275,4.32544660236169e-05,0,0,0,0,2.3673121537806e-05,7.99083717337453e-05,3.49027957139367e-05,0,0.000105983527131783,0,7.87966180491533e-05,1.52017269161777e-05,0.000211758655635049,0.000422311376846223,0.000544591685900262,0,5.7058085130663e-05,6.13293755442982e-05,0.000116634397816604
Desulfobulbaceae,0.0334456518928981,0.0209787780903755,0.00631515203944807,0.0201179041101538,0.0103811948292393,0.00472007880479396,0.00301826846703733,0.0043558543629563,0.00902964600591322,0.00352518236710761,0.00723865242073428,0.00687378875968992,0.00565647775481345,0.00937679754784925,0.0137423611322246,0.0402946470436979,0.0140474100087796,0.00765021654002749,0.00101778123690355,0.0141504051124044,0.0611821850429919,0.0247731460962467
Ectothiorhodospiraceae,2.58533768819104e-05,0,0,0,0,0,0,0,2.66361239112484e-05,0.00146591741998534,0.00396638488807358,0.000393653100775194,3.62594727872657e-05,0.000307306810391698,6.08069076647107e-05,0,5.55672864271346e-05,0,0.000119738969047476,0,0,0
Moraxellaceae,0.000215444807349253,0.000208398457851412,4.32544660236169e-05,0.00041225213340479,0.000628161470559064,0.000451485798719422,0.000158856235107228,0.000568154916907343,0.00119862557600618,0.000663153118564797,0.00138823471082575,0.000953851744186046,0.000870227346894376,0.000496418693709666,0.000440850080569153,0.000196633037375403,0.000466765205987931,0.000233396436814398,0.00496916721547027,0.00373730457605843,0.000208519876850614,0.000373230073013133
