taxon,EO10_S_2019-08-21,EO10_S_2019-09-13,EO10_S_2019-09-30,EO10_S_2019-10-11,EO10_S_2019-10-28,EO10_S_2019-11-11,EO10_S_2019-11-25,EO10_S_2019-12-13,EO10_S_2020-01-02,EO10_S_2020-01-16,EO10_S_2020-01-21,EO10_S_2020-02-10,EO10_S_2020-02-21,EO10_S_2020-03-06,EO10_S_2020-03-18,EO10_S_2020-03-20,EO10_S_2020-04-14,EO10_S_2020-04-28,EO10_S_2020-04-29,EO10_S_2020-05-12,EO10_S_2020-05-21,EO10_S_2020-05-28,EO10_S_2020-06-10,EO10_S_2020-06-23,EO10_S_2020-07-09,EO10_S_2020-07-21,EO10_S_2020-08-05,EO10_S_2020-08-19,EO10_S_2020-09-02,EO10_S_2020-09-17,EO10_S_2020-10-02
Flavobacterium,0.000144936538501356,0.00016739803666017,5.2682875431341e-05,0,0.000389381023237703,0.00584966364434045,0.00776034942175095,0.00208407341622262,0.00035593170066144,0.000367450561197221,0.00141166980371067,0.00153112207072172,0.0021305225386858,0.00208905336039155,0.000947634103893501,0.00202355282799801,0.000434404865334492,0.00131769523125007,0.000620256263772137,0.00111687363846469,0.00167840452840124,0.00093533438204158,0.000461540490287869,0.000237743474790701,8.83845079634442e-05,3.46392323946101e-05,3.74251497005988e-05,0,7.1599045346062e-05,3.92464678178964e-05,0.00136560200288294
Anaerolineaceae,0.00601486634780628,0.00416701541257638,0.00748096831125043,0.00774536318392037,0.0123489410226814,0.00933021351272302,0.00840590061258687,0.0117229129662522,0.0130112810575126,0.0121258685195083,0.00954557676794837,0.00744608838603617,0.0156985871271586,0.0107010692542506,0.0124285857472186,0.00869132526123735,0.00691214800429294,0.0123819791564573,0.00572920917326369,0.0072652077274386,0.00838105267776827,0.00690163400082196,0.00522200097582846,0.0029038667278007,0.00466670202046985,0.00119505351761405,0.00243263473053892,0.00182887798335721,0.00288782816229117,0.00357142857142857,0.00652454290266292
Thiotrichaceae,0.0182516512412779,0.0298506570372939,0.08682137871085,0.0518651282625742,0.0523300282301242,0.0236911377595788,0.0241738318270472,0.0573001776198934,0.0420889236032152,0.040820416889364,0.0347203549341221,0.0321052122618702,0.0465350975555057,0.0454987295144869,0.0825535094353376,0.0374744291480069,0.0357361884806051,0.0342600760125018,0.0203541989716804,0.0200484347181829,0.040764387108098,0.023411703017162,0.0219957010800047,0.0273235179241598,0.0436442700323487,0.0179604419966054,0.0245508982035928,0.0282866461425915,0.0260620525059666,0.056436420722135,0.0260981716106517
Clostridium sensu stricto 1,0.000113878708822494,0.000304903566773881,0.000131707188578353,0.000272047880426955,0.000236409906965748,0.00026323486399532,0.000288437766118177,5.9206631142688e-05,1.977398337008e-05,0.000167022982362373,0.000705834901855337,0.000128936595429198,0.00011213276519399,2.55802452292843e-05,4.55593319179568e-05,4.42306629070603e-05,0.000127766136863086,5.44502161673582e-05,0.000244837998857423,3.31744645088521e-05,1.09699642379166e-05,0.000184232529796069,6.59343557554099e-05,0.000101890060624586,0.000229799720704955,0.00010391769718383,0.000112275449101796,0.000304812997226202,0.000190930787589499,0.000235478806907378,0.000455200667627646
Sulfurimonas,0.00462761662215044,0.00678559898604618,0.0612306719700761,0.0141944982316888,0.0282996565103116,0.00169640245685873,0.00924374364750158,0.0073060982830077,0.00206638126217336,0.0114577765900588,0.0196625436945415,0.00668858588788963,0.0426104507737161,0.00385409028121216,0.00362652282066936,0.00279758942887157,0.00793427709919763,0.00273340085160138,0.00259528278788868,0.00127168780617266,0.0018539239562079,0.0020832447600017,0.00350770772618781,0.0178307606093026,0.0145834438139683,0.00424330596833974,0.00477170658682635,0.00743743713231932,0.01,0.0275902668759812,0.0113041499127532
Fusibacter,6.21156593577241e-05,0.00090275369770306,0.000395121565735058,0.000128022531965626,0.000347661627890806,0.000818952910207663,0.00207400488970689,0.000106571936056838,3.954796674016e-05,0.000167022982362373,0.000436945415434257,1.61170744286497e-05,0,8.52674840976142e-05,0,0.00506441090285841,0.000153319364235703,0.000413821642871922,0.000146902799314454,0.00011058154836284,9.87296781412493e-05,1.41717330612361e-05,0.000224176809568394,0.00135004330327577,0.000247476622297644,0.000814021961273338,5.61377245508982e-05,0.000944920291401225,7.1599045346062e-05,0.000117739403453689,0.00159320233669676
Chromatiaceae,0.00015528914839431,0.000173376537969462,0.000579511629744751,0.000256045063931252,0.000417193953468968,5.84966364434045e-05,0.000219762107518611,0.000236826524570752,0.0003460447089764,0.000267236771779797,0.000369723043828986,0.000241756116429746,0,0.000332543187980695,0.00087473917282477,0.000210095648808537,0.00017887259160832,0.00046827185903928,3.2645066514323e-05,0.000265395716070816,0.000142609535092916,0.000155889063673597,9.23080980575739e-05,0.000127362575780733,0.00030050732707571,8.65980809865253e-05,0.000224550898203593,9.14438991678605e-05,2.38663484486874e-05,0.000274725274725275,0.000303467111751764
Micavibrionales,4.14104395718161e-05,0.00010163452225796,3.95121565735058e-05,1.60028164957032e-05,1.39064651156323e-05,0,0,0,0,0,3.36111858026351e-05,0,0,1.70534968195228e-05,1.82237327671827e-05,6.63459943605905e-05,6.38830684315429e-05,1.08900432334716e-05,0.000293805598628907,2.2116309672568e-05,5.48498211895829e-05,0.000127545597551125,0.000237363680719476,0.00019528928286379,1.76769015926888e-05,0.000138556929578441,0.000112275449101796,3.04812997226202e-05,0.000143198090692124,3.92464678178964e-05,0
Marinicella,0.00148042321469242,0.00202073344254062,0.000974633195479809,0.00059210421034102,0.000653603860434716,0.000233986545773618,0.000137351317199132,0.000213143872113677,0.00023728780044096,0.000300641368252271,0.000504167787039527,0.000821970795861135,0.00011213276519399,7.67407356878528e-05,0.000145789862137462,0.000232210980262067,0.000587724229570195,0.000163350648502075,0.00195870399085938,0.000331744645088521,0.000142609535092916,0.000269262928163485,0.000540661717194361,0.000984937252704332,0.000335861130261088,0.0016973223873359,0.00205838323353293,0.00432834456061206,0.00269689737470167,0.00231554160125589,0.00212426978226235
Desulfolunaceae,8.28208791436321e-05,2.98925065464589e-05,0.000105365750862682,0.000160028164957032,0.000236409906965748,0,2.74702634398264e-05,2.36826524570752e-05,3.954796674016e-05,0,0,3.22341488572994e-05,0.00011213276519399,8.52674840976142e-06,9.11186638359135e-06,0,0.000102212909490469,0,0,0,1.09699642379166e-05,0,2.6373742302164e-05,6.79267070830574e-05,1.76769015926888e-05,1.73196161973051e-05,7.48502994011976e-05,3.04812997226202e-05,2.38663484486874e-05,3.92464678178964e-05,0
