taxon,EOI15_S_2019-08-21,EOI15_S_2019-09-13,EOI15_S_2019-10-23,EOI15_S_2019-11-08,EOI15_S_2019-11-28,EOI15_S_2020-01-21,EOI15_S_2020-02-07,EOI15_S_2020-03-26,EOI15_S_2020-04-23,EOI15_S_2020-05-15,EOI15_S_2020-06-09,EOI15_S_2020-07-02,EOI15_S_2020-07-15,EOI15_S_2020-07-28,EOI15_S_2020-08-14,EOI15_S_2020-09-01,EOI15_S_2020-09-23,EOI15_S_2020-10-09,EOI15_S_2020-10-22,EOI15_S_Au2020,EOI15_S_2020-12-02,EOI15_S_Wi2021
Flavobacterium,0.000666956198039459,0.000318381208433564,0.000599280862964443,0.0014326237070571,0.00154499806875241,7.97893560998963e-05,0.000296992278200767,0.000303471716436028,0.000632668711656442,0.00070478531155125,8.38908579937501e-05,0.000261822283090309,0,5.07137966883891e-05,7.70926808208829e-05,9.09158532452827e-05,1.34903611369676e-05,1.56352606397949e-05,0,4.87947692007417e-05,2.5543436613962e-05,0.000244012313236729
Anaerolineaceae,0.0261508872068495,0.034856846375171,0.0270175789053136,0.0228360218904902,0.0220162224797219,0.0378401021303758,0.0355040768940008,0.0255826656955572,0.0233320552147239,0.0234386294636403,0.0345420607789266,0.0331104487231129,0.0580112380340257,0.0443365367548242,0.0560772160291102,0.0465819771718558,0.0522481686834757,0.0643703680540355,0.0553738581256344,0.0689592075729482,0.0762982451659046,0.0274232299722201
Thiotrichaceae,0.015200397071597,0.0260011320220744,0.0177536955653216,0.0234090713733131,0.0186535796242019,0.0297015878081864,0.0304012095685512,0.0335943190094683,0.0185966257668712,0.0364319791817262,0.0218955139363688,0.0256384435672279,0.0210932250430921,0.0307452392423359,0.0255022588155481,0.0330437801158764,0.0143132731663227,0.0276431408111573,0.0183022120543266,0.0220064409095345,0.0307542976832103,0.0711389743974773
Clostridium sensu stricto 1,0.000217148529594242,0.000247629828781661,0.000249700359568518,0.000229219793129137,0.000295367277849726,0.000398946780499481,0.000161995788109509,0.000136562272396213,0.000306748466257669,0.000126499927714327,6.29181434953126e-05,2.01401756223314e-05,0.000116859972537906,0.00013946294089307,3.08370723283531e-05,0.00038845864568439,4.04710834109029e-05,0.000109446824478564,0.000144999919444489,0.000109788230701669,3.83151549209431e-05,0.000788347473534049
Sulfurimonas,0.00376907804938578,0.0055068157162398,0.00476927686775869,0.00727772843185009,0.00531661100129507,0.00560520226601771,0.0127436686646147,0.0119112648701141,0.0123466257668712,0.00941520890559491,0.0146389547199094,0.00896237815193749,0.00655389679316759,0.0115373887466085,0.00590529935087963,0.00852956004992107,0.00714989140259285,0.00772381875605866,0.00721777376790346,0.00502586122767639,0.0024904850698613,0.032847811397252
Fusibacter,0.00660751954336766,0.00374982312155087,0.0041949660407511,0.00467035328500616,0.00374889237270806,0.000139631373174818,0.000593984556401534,7.5867929109007e-05,0.000172546012269939,0.00224085586236808,0,0.00118827036171755,9.73833104482554e-06,2.53568983441945e-05,3.08370723283531e-05,0.000198361861626071,9.44325279587735e-05,0,1.61111021604988e-05,3.65960769005563e-05,0,0.000262782491178016
Chromatiaceae,0.00324171733465691,0.00747606244988444,0.00254694366759888,0.0036102117417839,0.00304455501783564,0.012327455517434,0.00415789189481073,0.00714675892206846,0.00651840490797546,0.00880078068526818,0.00390092489670938,0.00418915652944494,0.00695316836600543,0.00699850394299769,0.00749340857578981,0.0144969460538387,0.00565246131638944,0.00594139904312205,0.00697610723549598,0.00531862984288084,0.0111241666453805,0.0140213229221413
Micavibrionales,0,0,0,2.86524741411421e-05,2.27205598345943e-05,0,0,0,5.75153374233129e-05,1.80714182449039e-05,0,0,0,0,0,0,0,0,0,0,0,0
Marinicella,9.30636555403896e-05,4.71675864346021e-05,2.49700359568518e-05,0.000114609896564568,0.000113602799172972,0,5.39985960365031e-05,1.51735858218014e-05,0,0,0,4.02803512446629e-05,0,0,0,2.47952327032589e-05,0,0,0,0,0,3.75403558825738e-05
Desulfolunaceae,0.00203188981263184,0.0010258950049526,0.0014482620854974,0.00068765937938741,0.00177220366709836,0.000299210085374611,0.000971974728657055,0.000485554746297645,0.000479294478527607,0.00113849934942894,0.00153100815838594,0.00157093369854185,0.00017528995880686,0.000456424170195502,0.00049339315725365,0.000719061748394509,0.00028329758387632,0.000125082085118359,0.00012888881728399,0.000146384307602225,3.83151549209431e-05,0.00319093025001877
