taxon,EOK05_S_2020-02-07,EOK05_S_2020-02-21,EOK05_S_2020-02-26,EOK05_S_2020-03-10,EOK05_S_2020-03-23,EOK05_S_2020-04-17,EOK05_S_2020-04-27,EOK05_S_2020-05-11,EOK05_S_2020-05-22,EOK05_S_2020-05-27,EOK05_S_2020-06-09,EOK05_S_2020-06-18,EOK05_S_2020-07-02,EOK05_S_2020-07-17,EOK05_S_2020-07-27,EOK05_S_2020-08-06,EOK05_S_2020-09-02,EOK05_S_2020-09-16,EOK05_S_2020-09-29,EOK05_S_2020-10-29,EOK05_S_2020-11-19,EOK05_S_Wi2021
Flavobacterium,0.00182598156476254,0.00336265364667439,0.00452275969394372,0.020599481929197,0.00687585652851945,0.00668896321070234,0.00243241540109648,0.0128680824188837,0.00408365512763558,0.00874728788397853,0.00689588750842724,0.00992939099735216,0.00663210342041476,0.00501756146512795,0.00168620838398494,0.00106075652252415,0.0022230813841098,0.00163929792826658,0.00480294927047095,0.00224117987275882,0.00333479116553685,0.0184378384883861
Anaerolineaceae,0.000135553216598093,0.00102589433288371,0.00124821683309558,0.000832613790551375,0.00119323283398705,0.000254817646121994,0.000239460583527632,0.0005368279782111,0.000256296346922735,0.00118762133150622,0.00263892901858808,0.000992939099735216,0.00117829248586049,0.000401404917210236,0.00215677816556214,0.00246005236074749,0.0019653328178362,0.00226110059071253,0.0043442892500476,0.00262675920570657,0.0010113710911874,0.00093874112408232
Thiotrichaceae,0.000414633368417695,0.00260273191861238,0.00155621838931397,0.00225114098926853,0.00512735693020179,0.000923713967192228,0.00171403365051358,0.00271571800742086,0.00133274100399822,0.00210117620189563,0.00396802465568718,0.00104810238305384,0.00185160247778077,0.000878073256397391,0.00698011842672836,0.00911799223616503,0.0134995811585798,0.0101466889008225,0.00660297350156637,0.00645845382687488,0.00303411327356221,0.00440486219761704
Clostridium sensu stricto 1,4.78423117405033e-05,0.000246974561620153,0.000226948515108287,6.16750955963982e-05,0.000318983034828222,4.77783086478739e-05,0.000239460583527632,0.000284203047288229,0.000187950654410006,0.000182710974077881,5.77867668303958e-05,0.000257428655486908,0,0,0.000117642445394298,0.000451385754265595,0.0001933114247052,0.000113055029535626,6.05777385464804e-05,0.000144592249855408,0.000136671769079379,7.221085569864e-05
Sulfurimonas,0.000765476987848053,0.00292569865303874,0.00181558812086629,0.00576662143826323,0.0133382165304097,0.00129001433349259,0.00259625685298381,0.0026051946001421,0.000717629771383659,0.00107342697270755,0.00417990946739863,0.000827449249779347,0.00185160247778077,0.0041645760160562,0.00521548174581389,0.0110138124040805,0.0129357561698563,0.0291681976201916,0.00824722640497084,0.0276171197223829,0.00645090750054669,0.0283307257190998
Fusibacter,0.00125984754249992,0.00075992172806201,0.00132926987420568,9.25126433945973e-05,0.000153584424176551,0.00133779264214047,0.000466317978448547,0.000394726454566985,0.000119604961897276,0.000593810665753112,0.000327458345372243,0.000165489849955869,0.000639644492324266,0.000677370797792273,0.000352927336182895,0.000428816466552316,4.83278561763e-05,0.00025437381645516,0.000233656991536425,0.000192789666473877,0.000191340476711131,0.00019256228186304
Chromatiaceae,4.78423117405033e-05,0.000303968691224804,0.000502528854882635,3.08375477981991e-05,0.000200841170077028,0.000127408823060997,0.000126031886067175,9.47343490960764e-05,0.000187950654410006,0.000251227589357086,0.000616392179524222,0.000183877611062077,0.000471316994344196,0.000125439036628199,0.00113721030547822,0.000519093617405435,0.0003705135640183,0.000197846301687346,0.000666355124011285,0.000337381916329285,5.46687076317516e-05,9.628114093152e-05
Micavibrionales,0.000502344273275285,7.5992172806201e-05,8.10530411101024e-05,9.25126433945973e-05,9.45134918009546e-05,0.000302595954769868,0.000176444640494045,0.000189468698192153,0.000392987731948194,0.000319744204636291,0.000250409322931715,0.000864224771991762,0.000134661998384056,0.00165579528349222,0.000784282969295322,0.000293400740272637,0.0026258135189123,0.000847912721517198,0.000320196618031397,7.22961249277039e-05,8.20030614476274e-05,0
Marinicella,0,0.000227976518418603,0.000210737906886266,3.08375477981991e-05,1.18141864751193e-05,3.18522057652492e-05,1.26031886067175e-05,1.57890581826794e-05,0,0,0.000211884811711451,1.83877611062077e-05,0.000235658497172098,0.000326141495233317,0.0023136347594212,0.00144443441364991,0.0007732456988208,0.000706593934597665,0.000752894750506257,0.000192789666473877,5.46687076317516e-05,0
Desulfolunaceae,9.56846234810066e-05,0.000208978475217053,8.10530411101024e-05,3.08375477981991e-05,0.000141770237701432,0,0,1.57890581826794e-05,0,0,0.00104016180294713,0.000110326566637246,0.000201992997576084,5.01756146512795e-05,0.000156856593859064,0.00422045680238332,0.0007410271280366,0.00327859585653317,0.000830780414351732,0.00173510699826489,0.000273343538158758,0.00028884342279456
Desulfosporosinus,8.77109048575894e-05,0.000132986302410852,1.62106082220205e-05,9.25126433945973e-05,0.000248097915977506,0.000111482720178372,0.000239460583527632,0.000126312465461435,0.000461333424460923,0.000388260819915496,0.00154098044881056,0.000956163577522801,0.00138028548343657,0.00105368790767687,0.00105878200854868,0.00169269657849598,0.0022391906695019,0.00243068313501597,0.00107309136853765,0.000265085791401581,0.000300677891974634,0.0001203514261644
Oligoflexales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61092853921e-05,0,8.6539626494972e-06,0,0,0
Rhodothermales,0,0,0,0,0,0,0,0,0,2.28388717597351e-05,0,0,0,0,0,0.000112846438566399,0,0,0,0,0,0
Desulfobulbaceae,0.000398685931170861,0.00680129946615499,0.00346907015951238,0.00234365363266313,0.00285903312697888,0.000652970218187609,0.00102085827714412,0.00424725665114076,0.000905580425793664,0.00200982071485669,0.00799383607820476,0.0014342453662842,0.016933746296795,0.00273457099849473,0.015920944276695,0.00835063645391351,0.0134995811585798,0.0123795257341511,0.00861069283624972,0.0110131096973202,0.00494751804067352,0.0055361656035624
Ectothiorhodospiraceae,7.97371862341722e-06,3.79960864031005e-05,0.000145895473998184,0,0,0,3.78095658201525e-05,0.000110523407278756,1.70864231281823e-05,0,0.000115573533660792,0,0,0.000150526843953838,0.000666640523901024,0.000699647919111673,0.0003544042786262,0.00135666035442752,0.000406736244526369,2.40987083092346e-05,2.73343538158758e-05,0
Moraxellaceae,0.000438554524287947,0.00079791781446511,0.000956425885099209,0.0169914888368077,0.00296536080525495,0.00101927058448798,0.00102085827714412,0.0058261624694087,0.00374192666507193,0.000913554870389403,0.00250409322931715,0.00183877611062077,0.00218825747374091,0.00100351229302559,0.00141170934473158,0.000902771508531191,0.0016431471099942,0.00113055029535626,0.00173944649254894,0.00178330441488336,0.000382680953422261,0.005415814177398
Saprospiraceae,0.000366791056677192,0.00319167125786044,0.00296654130462975,0.00252867891945232,0.000720665374982279,0.00106704889313585,0.000567143487302287,0.00173679640009473,0.000991012541434576,0.00381409158387576,0.00398728691129731,0.00251912327155046,0.00915701589011581,0.00213246362267938,0.00521548174581389,0.00510065902320123,0.0027063599458728,0.00344817840083661,0.00314138844176749,0.0036871023713129,0.00199540782855893,0.00117944397641112
endosymbionts (Thiomicrospiraceae),0,0,1.62106082220205e-05,9.25126433945973e-05,1.18141864751193e-05,1.59261028826246e-05,1.26031886067175e-05,1.57890581826794e-05,5.1259269384547e-05,0,5.77867668303958e-05,0,3.3665499596014e-05,0,7.84282969295322e-05,0,6.44371415684e-05,0.000282637573839066,8.6539626494972e-05,7.22961249277039e-05,2.73343538158758e-05,0
Thalassobaculales,7.97371862341722e-06,0,4.86318246660615e-05,0,4.72567459004773e-05,0,0,0,1.70864231281823e-05,0,0,0,0,2.50878073256397e-05,0,0,3.22185707842e-05,0,2.59618879484916e-05,2.40987083092346e-05,0,0
PHOS-HE36,0.000119605779351258,0.00100689628968216,0.000907794060433147,0.000616750955963982,0.00107509096923586,0.000191113234591495,0.00035288928098809,0.000647351385489856,0.000632197655742747,0.00280918122644741,0.00263892901858808,0.00242718446601942,0.00447751144626986,0.00095333667837431,0.00270577624406886,0.00327254671842557,0.0017075842515626,0.00274158446623894,0.0021721446250238,0.00209658762290341,0.00123004592171441,0.00125165483210976
Hoppeia,4.78423117405033e-05,0.000360962820829455,0.000421475813772533,9.25126433945973e-05,8.26993053258353e-05,0.000127408823060997,6.30159430335875e-05,4.73671745480382e-05,0,0.000205549845837616,3.85245112202639e-05,0,0.000201992997576084,0.000100351229302559,0.000470569781577193,0.000609370768258554,0.0001933114247052,0.000282637573839066,0.000129809439742458,4.81974166184692e-05,0.000136671769079379,0
SBR1031,2.39211558702516e-05,0,6.4842432888082e-05,9.25126433945973e-05,0.00178394215774302,0,5.041275442687e-05,4.73671745480382e-05,6.83456925127294e-05,0,0.000211884811711451,0.0002390408943807,0,0.000627195183140993,0.000235284890788597,0.000203123589419518,0.0002738578516657,0.000734857691981572,0.000337504543330391,0.00101214574898785,0.000136671769079379,0.00016849199663016
Pirellulaceae,1.59474372468344e-05,0.000379960864031005,0.000259369731552328,6.16750955963982e-05,0.000212655356552148,0.000175187131708871,5.041275442687e-05,0.000157890581826794,6.83456925127294e-05,0.000319744204636291,0.000327458345372243,0.000294204177699323,0.000370320495556154,0.000225790265930758,0.000392141484647661,0.000383677891125756,0.0002255299954894,0.000141318786919533,0.00043269813247486,0.000265085791401581,0.000191340476711131,9.628114093152e-05
Sulfuritalea,1.59474372468344e-05,0.000132986302410852,0.000113474257554143,0.00154187738990995,0.00112234771513634,0.000302595954769868,0.000378095658201525,0.00224204626194048,0.0023237535454328,0.000342583076396026,0.000365982856592507,0.0004780817887614,0.00117829248586049,0.000125439036628199,3.92141484647661e-05,0.000270831452559357,0.0003060764224499,0.000141318786919533,0.00015577132769095,0.000216888374783112,0.000382680953422261,0.00064989770128776
Nitriliruptorales,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latescibacterota,0,3.79960864031005e-05,1.62106082220205e-05,0,3.5442559425358e-05,3.18522057652492e-05,2.5206377213435e-05,7.8945290913397e-05,0,0,0.000154098044881056,0,0,2.50878073256397e-05,0.000235284890788597,0.000135415726279679,0.0001449835685289,0.000282637573839066,0.000121155477092961,0.000120493541546173,2.73343538158758e-05,7.221085569864e-05
BD1-7 clade,0.000390712212547444,0.000911906073674411,0.000599792504214758,0.000986801529542371,0.00147677330938992,0.000509635292243988,0.0023063835150293,0.00626825609852372,0.00517718620783925,0.00139317117734384,0.00161802947125108,0.00185716387172698,0.00323188796121734,0.00120421475163071,0.00101956786008392,0.00130901868737023,0.0014015078291127,0.00118707781012408,0.000995205704692179,0.00200019278966647,0.00123004592171441,0.00163677939583584
Fluviicola,0.000151500653844927,0.000417956950434105,0.000437686421994553,0.00567410879486863,0.00294173243230471,0.000270743749004619,0.00035288928098809,0.00162627299281598,0.00340019820250829,0.000456777435194701,0.00269671578541847,0.00104810238305384,0.00326555346081336,0.00160561966884094,0.00133328104780205,0.000519093617405435,0.0010148849797023,0.000791385206749385,0.00540872665593575,0.000698862540967804,0.00131204898316204,0.00435672162715128
