taxon,EU08_S_2019-09-13,EU08_S_2019-09-30,EU08_S_2019-10-11,EU08_S_2019-10-17,EU08_S_2019-10-28,EU08_S_2019-11-12,EU08_S_2019-11-26,EU08_S_2019-12-13,EU08_S_2020-01-02,EU08_S_Wi2020,EU08_S_2020-01-27,EU08_S_2020-02-07,EU08_S_2020-02-21,EU08_S_2020-03-06,EU08_S_2020-03-18,EU08_S_2020-04-14,EU08_S_2020-04-28,EU08_S_2020-05-12,EU08_S_2020-05-21,EU08_S_2020-05-28,EU08_S_2020-06-10,EU08_S_2020-06-23,EU08_S_2020-07-09,EU08_S_2020-07-21,EU08_S_2020-08-05,EU08_S_2020-08-20,EU08_S_2020-09-02,EU08_S_2020-09-17,EU08_S_2020-10-02,EU08_S_2020-10-29,EU08_S_2020-11-19
Flavobacterium,8.91345039664854e-05,0,6.64142923557149e-05,4.5988640805721e-05,7.27881500891655e-05,0.000186857676736219,0.000805624725355207,0.000707509245859463,0.000149253731343284,0.000289720709236296,0.000193386192225875,0.000162993871430434,0.000309198660139139,0.000985221674876847,0.00735639813047927,0.000932259614284734,0.000589217322989296,0.00206639566395664,0.0019649582446373,0.000234785875281743,0.00028243601059135,0.000244021473889702,0.000111623753534752,9.22906540331016e-05,0.000177047554973266,9.93541977148535e-05,3.41985568209022e-05,4.25079702444208e-05,0.00356514084507042,8.69754294411829e-05,0.0002945604503502
Anaerolineaceae,0.0118846005288647,0.0081888246628131,0.014677558610613,0.0162799788452252,0.0127015321905594,0.0195577701650576,0.00878863336751135,0.0154687248753819,0.0138805970149254,0.00918414648279059,0.0109907819248372,0.0135936888772982,0.0166967276475135,0.0134932533733133,0.00293149699936392,0.00487863466861888,0.00713607646731481,0.00633468834688347,0.0177080165617909,0.00760706235912847,0.00942630185348632,0.0136163982430454,0.0119809495460634,0.00729096166861502,0.0140575758648773,0.0133796986256003,0.0130980472624055,0.0121997874601488,0.00448943661971831,0.0183953033268102,0.00778948746481639
Thiotrichaceae,0.0781412484772856,0.0837347463070006,0.0875340373248323,0.0509094253719331,0.0920770098627943,0.0814388041108689,0.099604511498462,0.0949027174786943,0.111455223880597,0.0924498783173021,0.0716495842196867,0.0933954883296388,0.105230610667354,0.0951809809381024,0.015736054647529,0.0505650751527076,0.0347965563520901,0.0666666666666667,0.0274626307048118,0.0652235161532682,0.0663018534863195,0.107857491459248,0.0871781515106415,0.082938534424414,0.0910024432562586,0.0896837224706077,0.0976368797236757,0.0837832093517535,0.0454665492957746,0.0695803435529463,0.0397983897362048
Clostridium sensu stricto 1,0.000178269007932971,0.000160565189466924,0.000199242877067145,2.29943204028605e-05,7.27881500891655e-05,0.000249143568981626,0,6.43190223508603e-05,0,0.000173832425541778,0.000193386192225875,0.000195592645716521,0.00020613244009276,0.000128507174983937,0.000193589424486297,3.43163048202969e-05,0.00026187436577302,0.000203252032520325,0.000280708320662472,0.000234785875281743,7.06090026478376e-05,9.76085895558809e-05,0.000111623753534752,0,0.000212457065967919,0.000331180659049512,0.000341985568209022,8.50159404888417e-05,0.000132042253521127,0.000130463144161774,9.81868167833999e-05
Sulfurimonas,0.02460112309475,0.0296242774566474,0.0207544663611609,0.0173377175837568,0.0326818793900353,0.0270943631267518,0.047751574630145,0.0392346036340248,0.0500373134328358,0.0556843203152161,0.042867272610069,0.046551049680532,0.0788456583354805,0.027671878346541,0.013800160402666,0.0380682208139827,0.0139120756816917,0.032520325203252,0.0138950618727923,0.0213655146506386,0.0242894969108561,0.0493411420204978,0.0370218782556928,0.0262105457454009,0.0343118161538189,0.0340122536843848,0.0339249683663349,0.0233793836344315,0.0139524647887324,0.0202652750597956,0.0224520521044708
Fusibacter,0,0.000160565189466924,0.00026565716942286,0.000321920485640047,7.27881500891655e-05,3.11429461227032e-05,0.000292954445583712,0.000289435600578871,0.000149253731343284,0.000434581063854444,0.000225617224263521,0.000130395097144347,0.000438031435197114,4.28357249946455e-05,0.0060012721590752,0.00105808606529249,0.00124390323742185,3.38753387533875e-05,0.00219888184518936,9.39143501126972e-05,0.000176522506619594,4.88042947779405e-05,0.00014883167137967,9.22906540331016e-05,0.000141638043978613,6.62361318099023e-05,3.41985568209022e-05,0,0.00448943661971831,8.69754294411829e-05,0.000752765595339399
Chromatiaceae,0.00136672906081944,0.000963391136801541,0.00212525735538288,0.00112672169974016,0.0021108563525858,0.00186857676736219,0.0018309652848982,0.00125422093584178,0.00332089552238806,0.00225982153204311,0.00191774640623993,0.00241230929717043,0.00267972172120587,0.00274148639965731,0.000248900688625239,0.00176157031410858,0.00104749746309208,0.00223577235772358,0.000771947881821797,0.00192524417731029,0.0018711385701677,0.00209858467545144,0.00145110879595178,0.00181504952931766,0.00240784674763641,0.00165590329524756,0.00147053794329879,0.00238044633368757,0.000572183098591549,0.004044357469015,0.0017019048242456
Micavibrionales,0,0,6.64142923557149e-05,0.00908275655912989,0.00356661935436911,0.000218000622858922,0,0,0,0,3.22310320376458e-05,0,0,0,0,0.000142984603417904,0,0,0,4.69571750563486e-05,0,0,0,3.07635513443672e-05,3.54095109946532e-05,0,0,0,0.000132042253521127,0,0
Marinicella,0.00032682651454378,8.02825947334618e-05,0.000332071461778575,0.000160960242820023,0.000254758525312079,0.000280286515104329,0,0.000128638044701721,0.000373134328358209,0.000289720709236296,0.000225617224263521,0.000130395097144347,0.00025766555011595,0.000514028699935746,8.29668962084128e-05,0.000434673194390428,0.000163671478608138,0.000508130081300813,0.000140354160331236,0.000281743050338092,0.000105913503971756,0.000244021473889702,0,3.07635513443672e-05,0.000212457065967919,0.000331180659049512,0.000307787011388119,0.00051009564293305,0.000528169014084507,0.000217438573602957,0.000327289389278
Desulfolunaceae,0.000594230026443236,0.000160565189466924,0.000365278607956432,0.000183954563222884,0.000291152600356662,0.000280286515104329,0.000439431668375568,0.000675349734684033,0.000223880597014925,0.000115888283694518,0.000241732740282344,0.000130395097144347,0.00020613244009276,0.00124223602484472,2.76556320694709e-05,0.000400356889570131,0.000589217322989296,3.38753387533875e-05,0.000491239561159325,0.000375657400450789,0.000176522506619594,0.000585651537335285,0.000223247507069504,0.000307635513443672,0.000460323642930491,0.000165590329524756,0.000273588454567217,0.000297555791710946,0.000132042253521127,0.000782778864970646,0.000458205144989199
